18ea8577	20b768fc	Mon Jul 17 14:52:03 2023 +1000	upstream: Include stdint.h for SIZE_MAX. Fixes OPENSSL=no build.
20b768fc	4b94d095	Fri Jul 14 17:07:32 2023 +1000	Fix typo in declaration of nmesg.
4b43bc35	8c7203bc	Fri Jul 14 15:33:29 2023 +1000	upstream: misplaced debug message
2709809f	204e0bf0	Thu May 25 18:24:58 2023 +1000	fixup! if -s & -p specified, mention \'sftp -P\' on
914f4ad1	bd382dca	Thu May 25 18:24:42 2023 +1000	Fix test error for /bin/sh on Solaris 10 and older
cf84498f	b4a1efdc	Thu May 25 18:24:32 2023 +1000	ssh-copy-id: add -x option (for debugging)
fcd78e31	5ec5504f	Thu May 25 09:42:00 2023 +1000	upstream: fix AuthorizedPrincipalsCommand when AuthorizedKeysCommand
b356b8e9	b7afd8a4	Mon May 8 20:14:28 2023 +1000	Include config.guess in debug output.
740dafa2	6452f895	Mon Apr 17 09:21:13 2023 +1000	upstream: fix double words ok dtucker@
13ae327e	9ffa76e1	Wed Mar 29 12:22:23 2023 +1100	upstream: fix memory leak; Coverity CID 291848
009eb4cb	4f0a6764	Mon Mar 27 14:31:57 2023 +1100	upstream: fix test: getnameinfo returns a non-zero value on error, not
47100770	03acc50d	Tue Mar 7 17:32:03 2023 +1100	upstream: Fix mem leak in environment setup.
3f9231c2	c5e6e890	Tue Mar 7 16:38:40 2023 +1100	upstream: fix memory leak in process_read() path; Spotted by James
aa59d6a4	23b8cb41	Sun Mar 5 20:33:29 2023 +1100	upstream: Fix mem and FILE leaks in moduli screening.
0d514659	86020120	Thu Mar 2 19:32:21 2023 +1100	upstream: Fix breakage on dhgex test.
aa33b4d3	b0fd60a9	Mon Feb 27 21:04:22 2023 +1100	Cast time_t\'s in debug output to long long.
6c9fc9d7	fe0bd3cd	Wed Feb 22 15:06:44 2023 +1100	upstream: fix progressmeter corruption on wide displays; bz3534
c81c2bea	500f90b3	Fri Feb 17 10:12:40 2023 +1100	whitespace fixes
12da7823	79efd95a	Thu Feb 2 23:14:09 2023 +1100	upstream: fix double-free caused by compat_kex_proposal(); bz3522
6b508c4e	358e300f	Wed Feb 1 12:14:22 2023 +1100	fix libfido2 detection without pkg-config
923c3f43	4d87a00f	Sat Jan 14 21:38:13 2023 +1100	upstream: Shell syntax fix. From ren mingshuai vi github PR#369.
b05406d6	40564812	Sat Jan 14 12:59:51 2023 +1100	upstream: fix double phrase in previous;
344a0e82	e1ef1726	Fri Jan 6 21:37:40 2023 +1100	upstream: Save debug logs from ssh for debugging purposes.
2393ea8d	161a5378	Fri Jan 6 21:37:40 2023 +1100	upstream: fix typo in verbose logging
b3daa8dc	0872663a	Tue Jan 3 17:53:05 2023 +1100	upstream: fix bug in PermitRemoteOpen which caused it to ignore its
0872663a	797da281	Tue Jan 3 17:53:05 2023 +1100	upstream: spelling fixes; from paul tagliamonte amendments to his
a6183e25	b85c3581	Fri Dec 9 11:36:27 2022 +1100	upstream: Add server debugging for hostbased auth.
9a067e8d	ce3c3e78	Fri Dec 9 11:24:14 2022 +1100	upstream: Fix comment typo.
d63f5494	73dcca12	Tue Dec 6 12:22:36 2022 +1100	Fix typo in comment.  Spotted by tim@
4a1805d5	815c4704	Wed Nov 30 12:16:14 2022 +1100	upstream: Add void to client_repledge args to fix compiler warning. ok djm@
5ec4ebc2	e6abafe9	Wed Nov 9 20:43:58 2022 +1100	upstream: Fix typo in fatal error message.
dffa6448	d9df5689	Wed Nov 9 08:27:47 2022 +1100	Fix comment text.  From emaste at freebsd.org.
a00f59a6	f58acaf8	Mon Nov 7 15:43:13 2022 +1100	upstream: fix parsing of hex cert expiry time; was checking whether the
f58acaf8	162e5741	Mon Nov 7 15:10:59 2022 +1100	Fix merge conflict.
5c3f18fb	e1c6fcc1	Mon Nov 7 14:00:23 2022 +1100	upstream: Fix typo. From pablomh via -portable github PR#344.
0f7e1eba	32fddb98	Mon Nov 7 10:54:29 2022 +1100	Fix tracing disable on FreeBSD.
32fddb98	12af712d	Mon Nov 7 10:39:01 2022 +1100	Fix setres*id checks to work with clang-16.
12af712d	40b0a5eb	Sun Nov 6 18:51:52 2022 +1100	configure.ac: Fix -Wstrict-prototypes
6b17e128	99500df2	Sat Nov 5 07:33:11 2022 +1100	Fix broken zlib link.
ec59effc	73550a21	Thu Nov 3 21:44:23 2022 +1100	Fix compat regress to work with non-GNU make.
64af4209	27267642	Fri Oct 28 12:54:35 2022 +1100	fix merge botch
5eb796a3	c64b6233	Fri Oct 14 07:37:16 2022 +1100	Fix snprintf configure test for clang 15
4cf8d0c0	8179fed3	Tue Sep 27 08:16:44 2022 +1000	upstream: Fix typo. From AlexanderStohr via github PR#343.
