20230130-81607a62ca	81607a62ca	ec4939b170	Mon Jan 30 13:15:05 2023 +0300	Fix type inference	oss-fuzz #55358	ext/opcache/tests/jit/assign_obj_op_003.phpt	commit 81607a62ca85d016699e16344a5cebca9edba46aAuthor: Dmitry Stogov <dmitry@zend.com>Date:  Mon Jan 30 13:15:05 2023 +0300  Fix type inference    Fixes oss-fuzz #55358
20221219-683285165e	683285165e	351055e434	Mon Dec 19 12:11:16 2022 +0300	Fix memory leak	oss-fuzz #54320	Zend/tests/class_constants_007.phpt	commit 683285165e94bbe8ed387e3850b0b776b804f948Author: Dmitry Stogov <dmitry@zend.com>Date:  Mon Dec 19 12:11:16 2022 +0300  Fix memory leak    Fixes oss-fuzz #54320
20221114-a8bd342397	a8bd342397	b8c1b5e9fa	Mon Nov 14 12:35:09 2022 +0300	Fix memory leak	oss-fuzz #53143	ext/opcache/tests/jit/assign_055.phpt	commit a8bd342397cc783870b9e4d3fcc4775402790136Author: Dmitry Stogov <dmitry@zend.com>Date:  Mon Nov 14 12:35:09 2022 +0300  Fix memory leak    Fizes oss-fuzz #53143
20221107-f31f464cec	f31f464cec	1cd217038e	Mon Nov 7 11:07:58 2022 +0300	Fix memory leak	oss-fuzz #52999	ext/opcache/tests/opt/assign_obj_op_001.phpt	commit f31f464cec530783c6d783cfd0c4c7a6ddade30aAuthor: Dmitry Stogov <dmitry@zend.com>Date:  Mon Nov 7 11:07:58 2022 +0300  Fix memory leak    Fixes oss-fuzz #52999
20221024-261a08af65	261a08af65	2caa79e963	Mon Oct 24 12:02:28 2022 +0300	JIT: Fix incorrect EX(opline) override	oss-fuzz #52674	ext/opcache/tests/jit/fetch_dim_rw_004.phpt	commit 261a08af65168e24c43a81321284f3f461f3500dAuthor: Dmitry Stogov <dmitry@zend.com>Date:  Mon Oct 24 12:02:28 2022 +0300  JIT: Fix incorrect EX(opline) override    Fixes oss-fuzz #52674
20221003-ed652a514f	ed652a514f	5ca4113386	Mon Oct 3 17:08:11 2022 +0300	Fix register allocation (missing store)	oss-fuzz #52022	ext/opcache/tests/jit/reg_alloc_017.phpt	commit ed652a514fab0cbe797504f850ea64bd2ed1c4d2Author: Dmitry Stogov <dmitry@zend.com>Date:  Mon Oct 3 17:08:11 2022 +0300  Fix register allocation (missing store)    This fixes oss-fuzz #52022
20220926-8258b7731b	8258b7731b	e488f7b0eb	Mon Sep 26 11:43:38 2022 +0300	Fix memory leak	oss-fuzz #51622	Zend/tests/temporary_cleaning_017.phpt	commit 8258b7731ba8cde929e1f3504577af0a4440cad4Author: Dmitry Stogov <dmitry@zend.com>Date:  Mon Sep 26 11:43:38 2022 +0300  Fix memory leak    Fixes oss-fuzz #51622
20220919-8a1f7fa721	8a1f7fa721	54701ea3e7	Mon Sep 19 13:03:24 2022 +0300	Fix memory leak	oss-fuzz #51451	Zend/tests/gc_046.phpt	commit 8a1f7fa7216800e64f3d59b1a9c3285ca048a0feAuthor: Dmitry Stogov <dmitry@zend.com>Date:  Mon Sep 19 13:03:24 2022 +0300  Fix memory leak    Fixes oss-fuzz #51451
20220905-81cb005ef7	81cb005ef7	6aedc5eaf0	Mon Sep 5 12:55:50 2022 +0300	Fix type inference	oss-fuzz #50792	ext/opcache/tests/jit/fetch_dim_func_arg_002.phpt	commit 81cb005ef7787954b4adab3543e3c443f9dd293eAuthor: Dmitry Stogov <dmitry@zend.com>Date:  Mon Sep 5 12:55:50 2022 +0300  Fix type inference    Fixes oss-fuzz #50792
20220829-4135e6011c	4135e6011c	725cb4e8ad	Mon Aug 29 14:53:48 2022 +0300	Fix memory leak	oss-fuzz #50616	ext/opcache/tests/opt/assign_obj_001.phpt	commit 4135e6011c2831cce29c257c6c46f32184d34d2bAuthor: Dmitry Stogov <dmitry@zend.com>Date:  Mon Aug 29 14:53:48 2022 +0300  Fix memory leak    Fixes oss-fuzz #50616
