php-20230725-127ad70782	127ad70782	61d16a6501	Tue Jul 25 17:54:14 2023 +0200	Fix open_basedir leak	commit 127ad70782f9bf5c245a7b55a1c420f2d67b993fAuthor: Ilija Tovilo <ilija.tovilo@me.com>Date:   Mon Jul 24 23:23:32 2023 +0200    Fix open_basedir leak        Fixes oss-fuzz #60741    Closes GH-11780	60741	NEWS;Zend/zend.c;main/fopen_wrappers.c;main/php_globals.h	2;0;1271;77;117;80
php-20230628-dc73b73f8b	dc73b73f8b	3483229199	Wed Jun 28 20:35:29 2023 +0200	Fix mis-compilation of by-reference nullsafe operator	commit dc73b73f8b48e178b5eed40c15af05f6a2c905c3Author: Ilija Tovilo <ilija.tovilo@me.com>Date:   Mon Jun 26 19:08:52 2023 +0200    Fix mis-compilation of by-reference nullsafe operator        Fixes oss-fuzz #60011    Closes GH-11540        Co-authored-by: Dmitry Stogov <dmitry@zend.com>    Co-authored-by: Niels Dossche <7771979+nielsdos@users.noreply.github.com>	60011	NEWS;Zend/zend_compile.c	8;0;0;3257
php-20230621-fae42c8bd8	fae42c8bd8	6c015ae8fe	Wed Jun 21 14:59:05 2023 +0200	Fix assertion violation for invalid class const objects in const expressions (#11458)	commit fae42c8bd832174a17a804d0da0bfd624fd071e4Author: Ilija Tovilo <ilija.tovilo@me.com>Date:   Wed Jun 21 14:59:05 2023 +0200    Fix assertion violation for invalid class const objects in const expressions (#11458)        Fixes oss-fuzz #59764	59764	Zend/zend_compile.c	0;10014
php-20230511-0a04c008d0	0a04c008d0	12c30a8da3	Thu May 11 14:33:49 2023 +0200	Fix potential NULL pointer access in zend_fiber_object_gc	commit 0a04c008d0df2cb5e3d54c10d2f73516730ee384Author: Ilija Tovilo <ilija.tovilo@me.com>Date:   Thu May 11 14:33:49 2023 +0200    Fix potential NULL pointer access in zend_fiber_object_gc        Accidentally introduced in GH-11208.        Fixes oss-fuzz #58795	58795	Zend/zend_fibers.c	670
php-20230502-25ad171f63	25ad171f63	8fc023cbae	Tue May 2 12:02:20 2023 +0300	JIT: Fixed inaccurate range inference usage for UNDEF/NULL/FALSE	commit 25ad171f63b7ba8b8fd323e26466951f512a666fAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Tue May 2 12:02:20 2023 +0300    JIT: Fixed inaccurate range inference usage for UNDEF/NULL/FALSE        Fixes oss-fuzz #58459	58459	ext/opcache/jit/zend_jit_arm64.dasc;ext/opcache/jit/zend_jit_x86.dasc	4834;5272;0
php-20230420-5855bdcd6c	5855bdcd6c	0ab51a9561	Thu Apr 20 10:18:18 2023 +0200	Fix reference returned from CallbackFilterIterator::accept()	commit 5855bdcd6c83ce272075bdde42af55e423e441fbAuthor: Ilija Tovilo <ilija.tovilo@me.com>Date:   Thu Apr 20 10:18:18 2023 +0200    Fix reference returned from CallbackFilterIterator::accept()        Fixes oss-fuzz #58181	58181	ext/spl/spl_iterators.c	0;1787
php-20230417-b340e10d6e	b340e10d6e	5a4083181b	Mon Apr 17 15:23:06 2023 +0200	Fix uninitialized memory in parse_ini_string()	commit b340e10d6e32df0ca586e06d0c9406402b47205fAuthor: Ilija Tovilo <ilija.tovilo@me.com>Date:   Mon Apr 17 14:15:22 2023 +0200    Fix uninitialized memory in parse_ini_string()        Introduced by GH-11014        Fixes oss-fuzz #58080    Closes GH-11092	58080	Zend/zend_ini_parser.y;Zend/zend_ini_scanner.l	110;307;145;598
php-20230410-c4a1100f19	c4a1100f19	4082d425a9	Mon Apr 10 16:41:43 2023 +0200	Fix unevaluated rhs of class constant fetch in constant expression (#11047)	commit c4a1100f190efce41eab728e84788d2491cc4c71Author: Ilija Tovilo <ilija.tovilo@me.com>Date:   Mon Apr 10 16:41:43 2023 +0200    Fix unevaluated rhs of class constant fetch in constant expression (#11047)        Fixes oss-fuzz #57821	57821	Zend/zend_compile.c	0;10761
php-20230327-1f5d9534ae	1f5d9534ae	9b15537e9a	Mon Mar 27 17:57:54 2023 +0300	Fix incorrect optimization	commit 1f5d9534ae342871e247294f36276f20aba238e1Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Mar 27 17:57:54 2023 +0300    Fix incorrect optimization        Fixes oss-fuzz #57482	57482	Zend/Optimizer/block_pass.c	257;0
php-20230325-57029ce92e	57029ce92e	c2f3a605f0	Sat Mar 25 17:42:39 2023 +0100	Fix buffer-overflow in php_fgetcsv() with \\0 delimiter and enclosure	commit 57029ce92ec5312752eaf436e4e61742d838a520Author: Ilija Tovilo <ilija.tovilo@me.com>Date:   Fri Mar 24 15:19:58 2023 +0100    Fix buffer-overflow in php_fgetcsv() with \0 delimiter and enclosure        Fixes oss-fuzz #57392    Closes GH-10923	57392	NEWS;ext/standard/file.c	65;2088;0
php-20230313-ce5f75fb6f	ce5f75fb6f	b1a49ff053	Mon Mar 13 09:38:11 2023 +0000	Fixed oss-fuzz #56931	commit ce5f75fb6f5d572060c0401d2cc295689916acb5Author: Derick Rethans <github@derickrethans.nl>Date:   Mon Mar 13 09:38:11 2023 +0000    Fixed oss-fuzz #56931	56931	ext/date/php_date.c;ext/date/tests/unserialize-test.phpt	568;6;24
php-20230202-35a36b13e5	35a36b13e5	f291d37a1a	Thu Feb 2 19:18:17 2023 +0100	Fix comp-time and constant evaluation of dynamic class constant fetch	commit 35a36b13e539c252d309f1799b5f653cf76921bdAuthor: Ilija Tovilo <ilija.tovilo@me.com>Date:   Thu Feb 2 15:40:50 2023 +0100    Fix comp-time and constant evaluation of dynamic class constant fetch        Fixes GH-10486    Fixes oss-fuzz #55436    Fixes oss-fuzz #55472    Closes GH-10487	55436	Zend/Optimizer/compact_literals.c;Zend/zend_ast.c;Zend/zend_compile.c;Zend/zend_execute.c;Zend/zend_execute.h;Zend/zend_vm_def.h;Zend/zend_vm_execute.h	670;0;0;834;852;10742;894;82;5922;7203;8358;25011;25574;33999;34352
php-20230130-81607a62ca	81607a62ca	ec4939b170	Mon Jan 30 13:15:05 2023 +0300	Fix type inference	commit 81607a62ca85d016699e16344a5cebca9edba46aAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Jan 30 13:15:05 2023 +0300    Fix type inference        Fixes oss-fuzz #55358	55358	Zend/Optimizer/zend_inference.c	2537;0
php-20221226-0464524292	0464524292	e7b6c2efd1	Mon Dec 26 13:20:55 2022 +0300	Fix memory leak because of incorrect optimization	commit 0464524292635eb5de1764845f52e7aa877138e7Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Dec 26 13:20:55 2022 +0300    Fix memory leak because of incorrect optimization        Fixes oss-fuzz #54488	54488	Zend/Optimizer/block_pass.c	256;0
php-20221219-683285165e	683285165e	351055e434	Mon Dec 19 12:11:16 2022 +0300	Fix memory leak	commit 683285165e94bbe8ed387e3850b0b776b804f948Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Dec 19 12:11:16 2022 +0300    Fix memory leak        Fixes oss-fuzz #54320	54320	Zend/zend_inheritance.c	0;1354
php-20221114-a8bd342397	a8bd342397	b8c1b5e9fa	Mon Nov 14 12:35:09 2022 +0300	Fix memory leak	commit a8bd342397cc783870b9e4d3fcc4775402790136Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Nov 14 12:35:09 2022 +0300    Fix memory leak        Fizes oss-fuzz #53143	53143	ext/opcache/jit/zend_jit_arm64.dasc;ext/opcache/jit/zend_jit_x86.dasc	5579;5629;5938;5946;5958;5974;6002;6102;8453;6096;6146;6462;6470;6482;6498;6526;6624;9045;0
