50fde5d81	857653f9f	Thu Jul 27 09:51:57 2023 -0600	Make the sections on bug reporting consistent with each other.
d486db46c	1a00423af	Tue Jul 25 13:56:08 2023 -0600	Fix user warning message for "sudo -l command" when not allowed. Reported by the sudo-rs project.
e59c48743	09b963269	Mon Jul 24 14:24:18 2023 -0600	Document bug fixes in 1.9.14p3.
56b829f66	0462a4ee8	Mon Jul 24 10:47:15 2023 -0600	sudo_module_register_conv_message: fix copy pasta in debug_decl
c29a27e84	db704c22e	Fri Jul 14 15:29:52 2023 -0600	Document bug fixes in 1.9.14p2.
db704c22e	78b712101	Sat Jul 15 08:44:57 2023 -0600	runas_userlist_matches: fix matching a Runas_Spec with an empty runas user.
ff6ddff39	b47f1799c	Wed Jul 12 09:29:00 2023 -0600	Fix a crash in intercept mode running a command with NULL argv[0].
9afb1851b	56828f641	Tue Jul 11 14:24:42 2023 -0600	Docume bug fixes in 1.9.14p1.
db6baf2ca	2d12a4194	Mon Jul 10 14:30:38 2023 -0600	Convert sudo_debug_enter and sudo_debug_exit into macros.
2d12a4194	eff4e1c0c	Mon Jul 10 11:27:28 2023 -0600	Fix sudo_debug_exit_uint_v1 declaration for fuzzers.
eff4e1c0c	dbb95ad21	Mon Jul 10 11:23:06 2023 -0600	Add missing sudo_debug_exit_uint_v1 stub for fuzzers.
1f0f6b7c7	fd061e4d6	Tue Jul 4 18:03:47 2023 -0600	Fix some indentation.
f1d906347	bfb6132d9	Tue Jul 4 14:14:07 2023 -0600	Fix wrapping of libc getpwnam/getpwuid/getgrnam/getgrgid on NetBSD.
3a7ca0a83	d900e7a93	Tue Jul 4 08:21:21 2023 -0600	sudo_pow2_roundup: fix 64-bit version when shifting 31 or more places
fa69ee5e1	f884514b3 76d7aefb3	Mon Jul 3 20:26:20 2023 -0600	Merge pull request #285 from AtariDreams/bug
f884514b3	9266966ab 732110428	Mon Jul 3 20:21:11 2023 -0600	Merge pull request #284 from AtariDreams/fix
732110428	9266966ab	Mon Jul 3 22:20:05 2023 -0400	Fix fuzzing errors
9266966ab	f5eb1e055 cbed9daa4	Mon Jul 3 20:09:32 2023 -0600	Merge pull request #283 from AtariDreams/bug
cbed9daa4	d3dc70ab6	Mon Jul 3 22:07:35 2023 -0400	Fixed even more signedness and conversion issues
b926df1df	04c7e910e	Sat Jul 1 16:14:50 2023 -0600	Make the debug subsystem unsigned.
04c7e910e	575e4ab2f	Sat Jul 1 16:03:33 2023 -0600	Fix up indentation.
575e4ab2f	97e574091 45fdfa18f	Sat Jul 1 15:45:02 2023 -0600	Merge pull request #280 from AtariDreams/bug
97e574091	2a4939a1c	Sat Jul 1 10:39:25 2023 -0600	Avoid passing debug_return_size_t() a negative number.
5fbf431c4	ac9b6c94d	Fri Jun 30 19:08:04 2023 -0600	Fix a few memory leaks in the tests.
e0238ab21	a0b074cc9 2c13d7130	Thu Jun 29 09:50:20 2023 -0600	Merge pull request #277 from AtariDreams/debug_return_int(1);
a0b074cc9	a2a87323e	Wed Jun 28 10:59:26 2023 -0600	Fix undefined symbol on macOS for intercept mode and log_subcmds.
4f9185f4c	baf482763	Wed Jun 14 11:08:24 2023 -0600	Document recent bug fixes.
baf482763	0d1732503	Wed Jun 14 10:29:07 2023 -0600	Add tests to exercise recent runas user and group bug fixes.
0d1732503	78e65e14e	Wed Jun 14 10:15:38 2023 -0600	Add test to exercise the bug that prevented the group specified via "sudo -g" from matching when a Runas_Alias was used in the user or group portion of a Runas_Spec.
471028351	8c1559e0e	Tue Jun 13 10:29:00 2023 -0600	runaslist_matches: fix bug when no runas list is specified in sudoers.
2077b5157	c7070b047	Wed Jun 7 11:31:20 2023 -0600	Mention Bug #1050 fix.
2392ee9d7	95cd40907	Sun Jun 4 19:11:48 2023 -0600	run_command: back out changes to run editor in its own process group. It unnecessarily complicates things to work around bugs in an OS almost no one runs.
d633d82f2	0986a8846	Thu May 25 12:53:27 2023 -0600	Fix typos and update excluded/ignored codespell lists.
4d417b46d	be20e1592	Thu May 11 18:22:06 2023 -0600	Work around a macOS a kernel bug where tcsetpgrp() does not restart.
0a4c8872a	ac12f82d8	Fri Mar 31 15:51:14 2023 -0600	The I/O log file name is not just the basename of the full iolog_path. The audit plugin already has the correct value for iolog_file, don\'t overwrite it with basename(iolog_path).  In the future we may wish to pass in iolog_file and iolog_dir in addition to iolog_path. Fixes Bug #1046.
493b2441d	3b55de4e8	Tue Mar 28 16:04:47 2023 -0600	Fix display of escape sequencees in ldapsearch example.
acbe617fb	0fcbcaede	Wed Mar 22 08:26:36 2023 -0600	suspend_sudo_pty: fix cut & pasto in last commit to catch SIGCONT. Also set sa.sa_handler to SIG_DFL instead of SIG_IGN.  There is no difference for SIGCONT but it means we can re-use sa as-is later.
1772fc7b6	adb84293a	Tue Mar 21 15:50:39 2023 -0600	Only convert a signal number to a name if we are going to use it. It is mostly used for debug logging.
027b42d5a	33cb885cf	Tue Mar 14 13:27:45 2023 -0600	Fix static compilation.
d8e6396c5	918af413f	Mon Mar 13 15:21:38 2023 -0600	Declare domain even if the system lacks innetgr(). Fixes a build error on musl-based systems like Alpine.
d2582c2cd	954980b56	Wed Mar 8 19:32:11 2023 -0700	fix typo in uninstall target
ec255dca1	dea110a84	Thu Mar 9 10:10:45 2023 +0800	fix command error for lib/util/Makefile.in
d9e9307d9	b013711e4	Fri Mar 3 11:12:18 2023 -0700	Fix "sudo -l command args", broken in sudo 1.9.13. The value of user_args should not contain the command to be run in "sudo -l command args", only the arguments of the command being checked. This restores the pre-1.9.13 behavior.  GitHub issue #249
19a660612	43378de75	Wed Mar 1 13:25:17 2023 -0700	write_callback: only enable /dev/tty reader if the command is running This fixes a hang when there is /dev/tty data in a buffer to be flushed by the final call to del_io_events().  We do not want to re-enable the reader when flushing the buffers as part of pty_finish(). See PR #247 for analysis of the problem and how to reproduce it.
7356a7796	172515c94	Tue Feb 28 09:06:48 2023 -0700	Fix removal of y.tab.[ch] when generating gram.[ch].
87ce69246	6c52056d3	Tue Feb 21 20:01:13 2023 -0700	Fix potential double free for rules that include a CHROOT= option. If a rule with a CHROOT= option matches the user, host and runas, the user_cmnd variable could be freed twice.
