imagemagick-20230201-977e449b4	977e449b4	d2079f187	Wed Feb 1 16:49:22 2023 +0100	Corrected the seek implementation (https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=55325).	commit 977e449b4190f8d1bc300a44d1e80f89da483ba5Author: Dirk Lemstra <dirk@lemstra.org>Date:   Wed Feb 1 16:49:22 2023 +0100    Corrected the seek implementation (https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=55325).	55325	MagickCore/annotate.c	1292
imagemagick-20230108-213fc94bc	213fc94bc	992006214	Sun Jan 8 11:55:58 2023 +0100	Add background color to colormap to avoid reading an uninitialized value due to increment of number_opaque (https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=54904).	commit 213fc94bcd89baf8699412b89d6abafb43a10509Author: Dirk Lemstra <dirk@lemstra.org>Date:   Sun Jan 8 11:55:58 2023 +0100    Add background color to colormap to avoid reading an uninitialized value due to increment of number_opaque (https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=54904).	54904	coders/png.c	8547;8570;8617
imagemagick-20220320-96ae9066b	96ae9066b	280e7e6c2	Sun Mar 20 13:48:09 2022 -0400	https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=45887	commit 96ae9066b001ff951c6a3c936081bacfaa69935fAuthor: Cristy <urban-warrior@imagemagick.org>Date:   Sun Mar 20 13:48:09 2022 -0400    https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=45887	45887	coders/heic.c	328
imagemagick-20220317-a81927b48	a81927b48	ea43d4b02	Thu Mar 17 15:03:23 2022 -0400	Coders: https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=42549	commit a81927b4801ffe7b2168c39588a3043d26d70df2Author: Cristy <urban-warrior@imagemagick.org>Date:   Thu Mar 17 15:03:23 2022 -0400    Coders: https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=42549	42549	coders/tiff.c	1263
imagemagick-20220317-ea43d4b02	ea43d4b02	8043433ba	Thu Mar 17 06:50:20 2022 -0400	Coders: proper check for out of bounds per https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=45640	commit ea43d4b023e7b2fdbf8ff6d6fb23e7dd91add4c3Author: Cristy <urban-warrior@imagemagick.org>Date:   Thu Mar 17 06:50:20 2022 -0400    Coders: proper check for out of bounds per https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=45640	45640	coders/dcm.c	4110;4119;4128;4137
imagemagick-20220206-a9bd4c0e1	a9bd4c0e1	f578dad61	Sun Feb 6 08:10:32 2022 -0500	https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=44457	commit a9bd4c0e16d034f733c93d5d1b022f9e5f78e70eAuthor: Cristy <urban-warrior@imagemagick.org>Date:   Sun Feb 6 08:10:32 2022 -0500    https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=44457	44457	MagickCore/fx.c	2312
imagemagick-20220205-706986228	706986228	48edb6a2b	Sat Feb 5 08:35:46 2022 -0500	https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=44424	commit 70698622896fc9b045527740952b4627a352e119Author: Cristy <urban-warrior@imagemagick.org>Date:   Sat Feb 5 08:35:46 2022 -0500    https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=44424	44424	coders/png.c	5105
imagemagick-20220204-a987a8ae4	a987a8ae4	715cf341e	Fri Feb 4 07:05:01 2022 -0500	https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=44401	commit a987a8ae4b7e7a1c0f3fc14f53ebbce86230ca47Author: Cristy <urban-warrior@imagemagick.org>Date:   Fri Feb 4 07:04:48 2022 -0500    https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=44401	44401	MagickCore/draw.c	7374
imagemagick-20220122-2df3d0124	2df3d0124	03ddd19cf	Sat Jan 22 13:43:47 2022 -0500	https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=43967	commit 2df3d0124b6e1b12c01421c1d5ed60143125af5fAuthor: Cristy <urban-warrior@imagemagick.org>Date:   Sat Jan 22 13:43:39 2022 -0500    https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=43967	43967	coders/rle.c	676;711
imagemagick-20220107-fbbf013a2	fbbf013a2	e13723901	Fri Jan 7 19:43:08 2022 -0500	https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=43390	commit fbbf013a252376e2afe4eaff6f00c5b3803fb505Author: Cristy <urban-warrior@imagemagick.org>Date:   Fri Jan 7 19:43:08 2022 -0500    https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=43390	43390	coders/png.c	5163
imagemagick-20211216-f74fefdb1	f74fefdb1	bd62b31c4	Thu Dec 16 15:20:14 2021 -0500	https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=42504	commit f74fefdb120cfe5c4357c5792fd716c95a1adbe0Author: Cristy <mikayla-grace@urban-warrior.org>Date:   Thu Dec 16 15:20:14 2021 -0500    https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=42504	42504	coders/jp2.c	347;368
imagemagick-20211121-b434f8cf9	b434f8cf9	c43c03cf0	Sun Nov 21 13:45:58 2021 -0500	https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=41268	commit b434f8cf9d7ec472fdfa8214d9ad07216c39f2b1Author: Cristy <mikayla-grace@urban-warrior.org>Date:   Sun Nov 21 13:45:58 2021 -0500    https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=41268	41268	MagickCore/pixel.c;coders/mpc.c	4384;63;578;795
imagemagick-20211119-9c171c8af	9c171c8af	d221c6ff2	Fri Nov 19 12:15:30 2021 -0500	https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=41172	commit 9c171c8af6420bdf6c953a8db0c8a654b1f7f74dAuthor: Cristy <mikayla-grace@urban-warrior.org>Date:   Fri Nov 19 12:15:30 2021 -0500    https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=41172	41172	coders/sixel.c	190
imagemagick-20211101-b93521f50	b93521f50	fab9aaeaf	Mon Nov 1 21:10:18 2021 -0400	https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=40454	commit b93521f5087ea92d3564862046422a0dc0ce8692Author: Cristy <mikayla-grace@urban-warrior.org>Date:   Mon Nov 1 21:10:18 2021 -0400    https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=40454	40454	coders/dds.c	2069;2144
imagemagick-20211028-987f36b50	987f36b50	ab9bcade8	Thu Oct 28 19:35:01 2021 -0400	https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=40451	commit 987f36b509139818c969a5474fee150e3f4034b4Author: Cristy <mikayla-grace@urban-warrior.org>Date:   Thu Oct 28 19:35:01 2021 -0400    https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=40451	40451	coders/dcm.c	3256;3268;3276
