09e18802	09ba9cf3	Wed Jul 19 00:52:22 2023 +0200	fixed https://github.com/OpenSC/OpenSC/issues/2794 (again)
4c8221ca	075d482c	Mon Jul 17 13:53:35 2023 +0200	p11test: Fix copy&paste error while handling secret key attributes
dd712f52	b17d4a4d	Mon Jul 17 13:53:35 2023 +0200	coolkey: Use packed structure to fix coverity warning
6226a625	b7fe5b2e	Mon Jul 10 20:47:32 2023 +0200	fix macro guard comment wrt. LibreSSL specific code
b7fe5b2e	2f7cbb93	Mon Jul 10 20:47:32 2023 +0200	fix spelling to silence Codespell CI job
f1993dc4	232265da	Mon Jul 3 21:05:28 2023 +0200	myeid: fixed CID 380538  Out-of-bounds read (OVERRUN)
868f76fb	9628e06a	Thu Jun 29 12:51:37 2023 +0200	Fixed PIN authentication bypass
9628e06a	98f640c4	Wed Jun 28 14:01:39 2023 +0200	sc-hsm: fixed CID 383006 (#1 of 1): Unchecked return value (CHECKED_RETURN)
98f640c4	ec6df8ab	Wed Jun 28 14:01:39 2023 +0200	piv-tool: fixed CID 380538 (#1 of 1): Out-of-bounds read (OVERRUN)
d053b293	1f384175	Wed Jun 28 14:01:39 2023 +0200	fixed CID 13829 (#1 of 1): Resource leak (RESOURCE_LEAK)
1f384175	874d6d6c	Wed Jun 28 14:01:39 2023 +0200	fixed CID 13779 (#1-2 of 2): Resource leak (RESOURCE_LEAK)
874d6d6c	66f7c345	Wed Jun 28 14:01:39 2023 +0200	fixed CID 13698 (#1 of 1): Dereference after null check (FORWARD_NULL)
3f34c320	8df28efe	Thu Jun 8 16:32:50 2023 +0200	fixed compiler warning
8df28efe	3e461bad	Thu Jun 8 16:32:50 2023 +0200	appveyor: fixed cd to build folder
3e461bad	df0975eb	Thu Jun 8 16:32:50 2023 +0200	fixed compiler warning
e62b874f	b94fbcd4	Wed Jun 7 15:51:52 2023 +0200	Fix memory leak
b94fbcd4	75c791a2	Wed Jun 7 15:51:52 2023 +0200	Fix PIN ctl macro name
5a394b7b	c1828520	Wed Jun 7 15:51:52 2023 +0200	Fix ATR mask to take country code as two bytes
a4b469f1	969ca740	Wed Jun 7 15:51:52 2023 +0200	Fix double free in OAEP test
506d7f64	a28f4092	Tue Jun 6 10:11:41 2023 +0200	pkcs15init: Fix statement with no effect (CID 385152)
9f7e83fe	646d8f5d	Wed May 31 13:58:33 2023 +0200	fixup! openpgp: Free allocated memory
646d8f5d	e53f61ff	Wed May 31 13:58:33 2023 +0200	fixup! p11test: Avoid memory leaks deteted by valgrind
891f10e4	9a8a442d	Wed May 31 13:58:33 2023 +0200	openpgp: Fix modulus length calculation in pkc15init layer
6f4c2700	e8fba322	Wed May 31 13:58:33 2023 +0200	isoapplet: Fix RSA-PSS calculation when the data does not contain digestinfo
e8fba322	ef56df67	Wed May 31 13:58:33 2023 +0200	openpgp: Fix fingerprint calculation
6a1ff88d	1952e2e2	Wed May 31 13:58:33 2023 +0200	tests: Fix the secret key test that never worked
81944d15	fe7cb498	Tue May 30 10:36:28 2023 +0200	pkcs15init: correct left length calculation to fix buffer overrun bug. Fixes #2785
2e63a80c	b5f6370a	Fri May 26 12:44:26 2023 +0200	Fix configure command according the build in CIFuzz
b5f6370a	9a15da8e	Fri May 26 12:44:26 2023 +0200	Fix cycling fuzz pkcs11 test
ecd845c2	3d21cba9	Fri May 12 09:00:05 2023 +0200	Fix PCSC handling when reader is removed
cde2e050	961bd8c6	Fri May 5 09:19:20 2023 +0200	NULL pointer fix
36178c81	1e6f2334	Fri May 5 09:18:51 2023 +0200	Fix pkcs11-tool unwrap / incorrect CKA_ID
cdb6905e	7b782d5c	Thu May 4 18:42:59 2023 +0200	Fixes #2767
9d18f3dd	01acc114	Fri Apr 14 10:46:21 2023 +0200	iso7816: fixed APDU case for read record with DO
01acc114	076567a9	Fri Apr 14 10:46:21 2023 +0200	iso7816: Fixed reading with discretionary data object
aa394f25	7b1729a1	Wed Apr 12 23:49:10 2023 +0200	pkcs11-tool: fixed race condition in --test-threads
7b1729a1	22aa65ca	Wed Apr 12 23:49:10 2023 +0200	pkcs11-tool: fixed race condition for loading openssl's legacy provider
22aa65ca	ee7fb476	Wed Apr 12 23:49:10 2023 +0200	pkcs#11: fixed race condition in C_GenerateRandom
ee7fb476	cf753d53	Wed Apr 12 23:49:10 2023 +0200	pkcs#11: fixed race condition in C_GetTokenInfo
d449feed	b9d5ac45	Wed Apr 12 23:49:10 2023 +0200	fixed race conditions in sc_lock()
b9d5ac45	fd474fb7	Wed Apr 12 23:49:10 2023 +0200	pkcs#11: fixed multiple race conditions during C_Initialize
49887a0e	a7b3ea3e	Tue Mar 28 15:26:24 2023 +0200	Fixes #2505. Decode FCI tag as negative file size.
a7b3ea3e	c17b432d	Tue Mar 28 15:26:24 2023 +0200	Fixes #2504 for record based files with index option as record number.
c17b432d	f947652b	Tue Mar 28 15:25:16 2023 +0200	fixed setting CKP_PUBLIC_CERTIFICATES_TOKEN
f947652b	d4a42acc	Wed Mar 22 10:03:36 2023 +0100	fixed possible integer overflow
63f67576	12a9122a	Wed Mar 22 10:03:36 2023 +0100	fixed implicit conversion loses integer precision
dd138d06	d952a9fa	Wed Mar 22 09:22:45 2023 +0100	Fixed loop in sc_hsm_write_ef, handle offset into buf and into EF separately
eac9f212	5631e984	Tue Mar 21 15:45:44 2023 +0100	Fix file memory leak
5d3657f7	eba22f21	Mon Mar 20 11:21:48 2023 +0100	fixed typos
a97e702b	7aa06c15	Thu Mar 9 14:51:16 2023 +0100	sm-eac: mark cryptographic mechanism field as optional and fix asn.1 encode error in encode_mse_cdata during terminal authentication. Fixes #2726
a100df00	7937f694	Thu Mar 9 14:30:09 2023 +0100	fixup
7aa06c15	37045afc	Wed Mar 8 16:04:55 2023 +0100	epass2003: Invalid APDU fix
37045afc	b09e3719	Wed Mar 8 16:03:14 2023 +0100	fix OpenSSL library detection if pkgconfig not found
4bed31d9	475b4fce	Fri Mar 3 11:25:21 2023 +0100	Fix memory leaks when reading of file fails
cfb35259	c16d4e65	Fri Mar 3 11:25:21 2023 +0100	Fix memory leak
